,permalink,name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,not_closed,cat_list
15,/company/2nd-story-software-inc,"2nd Story Software, Inc.",software,85000000.0,acquired,USA,IA,Cedar Rapids,Cedar Rapids,1,1998-02-15,1998-02,1998-Q1,1998.0,2005-03-30,2005-03-30,,1.0,['software']
16,/company/360imaging,360imaging,biotech,5500000.0,operating,USA,GA,Atlanta,Atlanta,2,2005-01-01,2005-01,2005-Q1,2005.0,2005-01-01,2010-01-01,,0.0,['biotech']
17,/company/3clickemr-corporation,3ClickEMR Corporation,software,500000.0,closed,USA,MA,Boston,West Roxbury,2,2010-06-23,2010-06,2010-Q2,2010.0,2010-06-23,2011-06-01,2010-06-23,0.0,['software']
18,/company/3d-systems,3D Systems,software,4144131.0,ipo,USA,SC,Rock Hill,Rock Hill,2,1986-01-01,1986-01,1986-Q1,1986.0,2010-01-13,2012-06-07,2013-06-26,1.0,['software']
19,/company/3dcart-shopping-cart-software,3dCart Shopping Cart Software,ecommerce,1250000.0,operating,USA,FL,Fort Lauderdale,Lauderhill,1,1997-05-01,1997-05,1997-Q2,1997.0,2010-01-01,2010-01-01,2004-04-01,0.0,['ecommerce']
20,/company/3guppies,3Guppies,games_video,20000000.0,operating,USA,WA,Seattle,Seattle,1,2003-01-01,2003-01,2003-Q1,2003.0,2006-04-05,2006-04-05,,0.0,['games_video']
21,/company/3jam,3Jam,mobile,4000000.0,operating,USA,CA,SF Bay,San Francisco,1,2005-01-01,2005-01,2005-Q1,2005.0,2007-07-01,2007-07-01,2009-12-21,0.0,['mobile']
22,/company/3leaf,3Leaf,software,65000000.0,operating,USA,CA,SF Bay,Santa Clara,3,2004-06-01,2004-06,2004-Q2,2004.0,2007-04-30,2008-09-22,2007-08-01,0.0,['software']
23,/company/3tier-environmental-forecast-group,3TIER,cleantech,15000000.0,operating,USA,WA,Seattle,Seattle,3,1999-01-01,1999-01,1999-Q1,1999.0,2007-09-05,2010-02-25,,0.0,['cleantech']
24,/company/3vr-security,3VR,security,53000000.0,operating,USA,CA,SF Bay,San Francisco,5,2002-01-01,2002-01,2002-Q1,2002.0,2006-01-17,2010-12-21,2012-08-01,0.0,['security']
25,/company/40billion-com,40billion.com,social,1050000.0,operating,USA,GA,Atlanta,Atlanta,3,2008-01-23,2008-01,2008-Q1,2008.0,2008-04-01,2010-06-01,2008-01-01,0.0,['social']
26,/company/4home,4Home,software,9146354.0,acquired,USA,CA,SF Bay,Sunnyvale,5,2006-01-01,2006-01,2006-Q1,2006.0,2006-08-01,2010-02-03,,1.0,['software']
27,/company/5min,5min Media,games_video,12800000.0,acquired,USA,NY,New York,NY,3,2007-01-01,2007-01,2007-Q1,2007.0,2007-04-01,2009-07-23,2011-10-11,1.0,['games_video']
28,/company/5th-finger,5th Finger,mobile,7000000.0,operating,USA,CA,SF Bay,San Francisco,1,2008-01-01,2008-01,2008-Q1,2008.0,2008-06-13,2008-06-13,2012-07-11,0.0,['mobile']
29,/company/64-pixels,64 Pixels,web,100000.0,operating,USA,CA,SF Bay,Mountain View,1,2010-10-01,2010-10,2010-Q4,2010.0,2010-10-01,2010-10-01,2010-10-01,0.0,['web']
30,/company/6th-sense-analytics,6th Sense Analytics,software,6700000.0,acquired,USA,NC,Raleigh-Durham,Morrisville,2,2004-01-01,2004-01,2004-Q1,2004.0,2005-11-11,2007-01-31,,1.0,['software']
31,/company/7-star-entertainment,7 Star Entertainment,games_video,10000000.0,operating,USA,FL,Fort Lauderdale,Pompano Beach,1,,,,,2010-07-14,2010-07-14,,0.0,['games_video']
32,/company/7summits,7Summits,consulting,600000.0,operating,USA,WI,Milwaukee,MIlwaukee,1,2009-04-01,2009-04,2009-Q2,2009.0,2010-01-01,2010-01-01,2011-09-13,0.0,['consulting']
33,/company/8dworld,8D World,games_video,12250000.0,operating,USA,MA,Boston,Woburn,2,,,,,2008-03-01,2010-12-09,2010-12-13,0.0,['games_video']
34,/company/alvenda-inc,8thBridge,ecommerce,15000000.0,operating,USA,MN,Minneapolis,Minneapolis,2,2008-11-01,2008-11,2008-Q4,2008.0,2010-01-25,2011-03-21,2013-03-03,0.0,['ecommerce']
35,/company/8x8-inc,8x8 Inc,network_hosting,30608728.0,acquired,USA,CA,SF Bay,San Jose,1,1987-01-01,1987-01,1987-Q1,1987.0,2011-10-03,2011-10-03,2013-01-01,1.0,['network_hosting']
36,/company/a-bit-lucky,A Bit Lucky,games_video,7600000.0,acquired,USA,CA,SF Bay,San Mateo,2,2009-10-01,2009-10,2009-Q4,2009.0,2010-03-15,2011-03-21,2011-03-21,1.0,['games_video']
37,/company/a-la-mobile,A la Mobile,software,7550000.0,operating,USA,KS,SF Bay,San Ramon,2,2005-06-01,2005-06,2005-Q2,2005.0,2005-07-01,2007-03-01,2012-01-01,0.0,['software']
38,/company/a-g-pharmaceutical,A&G Pharmaceutical,biotech,2000000.0,operating,USA,MD,Washington DC,Columbia,1,,,,,2005-09-08,2005-09-08,,0.0,['biotech']
39,/company/a10-networks,A10 Networks,network_hosting,38000000.0,operating,USA,CA,SF Bay,San Jose,3,2004-10-01,2004-10,2004-Q4,2004.0,2005-01-01,2008-07-14,2013-02-18,0.0,['network_hosting']
40,/company/a123systems,A123 Systems,nanotech,502860000.0,ipo,USA,MA,Boston,Watertown,8,2001-01-01,2001-01,2001-Q1,2001.0,2005-11-01,2012-06-07,2011-06-17,1.0,['nanotech']
41,/company/aardvark,Aardvark,web,6000000.0,acquired,USA,CA,SF Bay,San Francisco,2,2007-07-01,2007-07,2007-Q3,2007.0,2007-01-01,2008-10-01,2012-02-04,1.0,['web']
42,/company/abacast-inc,Abacast,analytics,500000.0,operating,USA,WA,Vancouver,Vancouver,1,2000-04-02,2000-04,2000-Q2,2000.0,2010-11-11,2010-11-11,2011-12-13,0.0,['analytics']
43,/company/abizinabox,aBIZinaBOX,consulting,500000.0,operating,USA,IL,Chicago,Evanston,1,1998-08-17,1998-08,1998-Q3,1998.0,2008-10-08,2008-10-08,1998-08-17,0.0,['consulting']
44,/company/abound-solar,Abound Solar,cleantech,510000000.0,closed,USA,CO,Loveland,Loveland,2,2007-01-01,2007-01,2007-Q1,2007.0,2010-07-06,2010-12-15,2011-11-01,0.0,['cleantech']
45,/company/aboutme,about.me,web,5675000.0,acquired,USA,CA,SF Bay,San Francisco,1,2013-02-05,2013-02,2013-Q1,2013.0,2013-02-05,2013-02-05,2013-01-01,1.0,['web']
46,/company/aboutus-org,AboutUs.org,web,2500000.0,operating,USA,OR,Portland,Portland,1,2006-01-01,2006-01,2006-Q1,2006.0,2009-01-09,2009-01-09,2011-12-16,0.0,['web']
47,/company/above-all-software,Above All Software,semiconductor,2100000.0,operating,USA,CA,SF Bay,Redwood City,1,2002-01-01,2002-01,2002-Q1,2002.0,2005-06-01,2005-06-01,,0.0,['semiconductor']
48,/company/acacia-research,Acacia Research,other,244600000.0,ipo,USA,CA,Los Angeles,Newport Beach,2,1992-01-01,1992-01,1992-Q1,1992.0,2005-02-10,2012-02-21,2012-01-13,1.0,['other']
49,/company/academix-direct-go-internet-media,AcademixDirect,web,10000000.0,operating,USA,CA,SF Bay,Mountain View,1,2004-01-01,2004-01,2004-Q1,2004.0,2009-01-01,2009-01-01,2012-02-15,0.0,['web']
50,/company/acadia-pharmaceuticals,ACADIA Pharmaceuticals,biotech,101385000.0,ipo,USA,CA,San Diego,San Diego,2,,,,,2011-01-11,2013-01-02,2012-12-13,1.0,['biotech']
51,/company/acadiasoft,AcadiaSoft,finance,4000000.0,operating,USA,MA,Boston,Pembroke,1,2009-01-01,2009-01,2009-Q1,2009.0,2010-01-08,2010-01-08,,0.0,['finance']
52,/company/accelerate-diagnostics,Accelerate Diagnostics,health,3321244.0,ipo,USA,AZ,Tucson,Tucson,1,,,,,2013-08-26,2013-08-26,,1.0,['health']
53,/company/accelerate-mobile-apps,Accelerate Mobile Apps,mobile,250000.0,operating,USA,CA,SF Bay,Scotts Valley,1,2009-01-01,2009-01,2009-Q1,2009.0,2009-12-22,2009-12-22,,0.0,['mobile']
54,/company/accelerated-orthopedic-technologies,Accelerated Orthopedic Technologies,medical,150000.0,closed,USA,CT,Guilford,Guilford,1,,,,,2012-05-18,2012-05-18,,0.0,['medical']
55,/company/accelerize-new-media,Accelerize New Media,enterprise,745500.0,operating,USA,CA,Los Angeles,Los Angeles,1,2005-01-01,2005-01,2005-Q1,2005.0,2010-05-10,2010-05-10,2011-01-10,0.0,['enterprise']
56,/company/accelgolf,AccelGolf,mobile,637282.0,closed,USA,MA,Boston,Cambridge,8,2008-08-01,2008-08,2008-Q3,2008.0,2008-01-01,2010-02-17,2010-02-17,0.0,['mobile']
57,/company/accept-software,Accept Software,software,25305000.0,acquired,USA,CA,SF Bay,Santa Clara,4,2002-01-01,2002-01,2002-Q1,2002.0,2005-09-16,2010-12-14,2006-01-01,1.0,['software']
58,/company/accertify,Accertify,security,4700000.0,acquired,USA,IL,Chicago,Itasca,2,2007-03-01,2007-03,2007-Q1,2007.0,2008-06-03,2010-05-04,2010-01-01,1.0,['security']
59,/company/access-360-media,Access 360 Media,advertising,20000000.0,operating,USA,CA,Los Angeles,Los Angeles,2,2003-01-01,2003-01,2003-Q1,2003.0,2008-10-29,2011-01-05,2006-10-01,0.0,['advertising']
60,/company/access-closure,Access Closure,medical,9999998.0,operating,USA,CA,SF Bay,Mountain View,1,2002-01-01,2002-01,2002-Q1,2002.0,2010-03-03,2010-03-03,,0.0,['medical']
61,/company/access-intelligence,Access Intelligence,news,7380000.0,operating,USA,MD,Washington DC,Rockville,2,,,,,2009-07-01,2010-03-01,2012-01-01,0.0,['news']
62,/company/access-northeast,Access Northeast,network_hosting,1999998.0,operating,USA,MA,Boston,Marlborough,1,1999-01-01,1999-01,1999-Q1,1999.0,2009-11-23,2009-11-23,2010-06-23,0.0,['network_hosting']
63,/company/acco-brands,Acco Brands,other,10000000.0,operating,USA,IL,Chicago,Lincolnshire,1,1947-01-01,1947-01,1947-Q1,1947.0,2007-02-01,2007-02-01,1996-01-01,0.0,['other']
64,/company/accountnow,AccountNow,web,34072000.0,operating,USA,CA,SF Bay,San Ramon,4,2003-01-01,2003-01,2003-Q1,2003.0,2004-08-09,2008-03-01,2008-04-01,0.0,['web']
65,/company/accruent-holdings,Accruent Holdings,enterprise,32000000.0,operating,USA,CA,Los Angeles,Santa Monica,1,1995-01-01,1995-01,1995-Q1,1995.0,2010-02-04,2010-02-04,,0.0,['enterprise']
66,/company/accruit,Accruit,software,3315000.0,operating,USA,CO,Denver,Denver,1,2000-01-01,2000-01,2000-Q1,2000.0,2008-07-03,2008-07-03,,0.0,['software']
67,/company/accudraft,AccuDraft,software,650000.0,operating,USA,FL,Orlando,Lake Mary,1,1992-01-01,1992-01,1992-Q1,1992.0,2006-12-06,2006-12-06,,0.0,['software']
68,/company/accuhealth-partners,Accuhealth Partners,health,760000.0,operating,USA,KS,Kansas City,Olathe,1,2011-01-01,2011-01,2011-Q1,2011.0,2011-02-21,2011-02-21,,0.0,['health']
69,/company/accumetrics,Accumetrics,biotech,110640467.0,acquired,USA,CA,San Diego,San Diego,9,1996-01-01,1996-01,1996-Q1,1996.0,2003-05-16,2013-08-30,2012-01-01,1.0,['biotech']
70,/company/accurev,AccuRev,software,2100000.0,operating,USA,MA,Boston,Concord,1,1998-01-01,1998-01,1998-Q1,1998.0,2005-03-07,2005-03-07,,0.0,['software']
71,/company/accuri-cytometers,Accuri Cytometers,biotech,32655000.0,operating,USA,MI,Detroit,Ann Arbor,8,,,,,2005-03-01,2010-10-19,2005-02-01,0.0,['biotech']
72,/company/ace-comm,ACE*COMM,public_relations,5000000.0,operating,USA,MD,Washington DC,Gaithersburg,1,1983-01-01,1983-01,1983-Q1,1983.0,2007-01-01,2007-01-01,2009-01-01,0.0,['public_relations']
73,/company/acendi-interactive,Acendi Interactive,security,2090000.0,operating,USA,CA,SF Bay,San Francisco,1,,,,,2009-01-09,2009-01-09,,0.0,['security']
74,/company/aceva-technologies,Aceva Technologies,software,5280000.0,acquired,USA,CA,SF Bay,San Mateo,1,1999-01-01,1999-01,1999-Q1,1999.0,2005-07-21,2005-07-21,2002-01-01,1.0,['software']
75,/company/achates-power,Achates Power,cleantech,31300000.0,operating,USA,CA,San Diego,San Diego,2,2004-01-01,2004-01,2004-Q1,2004.0,2009-10-08,2010-01-11,2011-11-01,0.0,['cleantech']
76,/company/acheive-cca,Acheive CCA,consulting,5000000.0,operating,USA,IN,Evansville,Evansville,1,,,,,2009-02-17,2009-02-17,,0.0,['consulting']
77,/company/achieve-x,Achieve X,software,150000.0,operating,USA,PA,Philadelphia,Conshohocken,1,2008-01-01,2008-01,2008-Q1,2008.0,2010-05-10,2010-05-10,,0.0,['software']
78,/company/achievo-r-corporation,Achievo(R) Corporation,software,24000000.0,operating,USA,CA,SF Bay,San Ramon,1,,,,,2007-02-26,2007-02-26,,0.0,['software']
79,/company/achillion-pharmaceuticals,Achillion Pharmaceuticals,biotech,50100000.0,ipo,USA,CT,New Haven,New Haven,1,1998-01-01,1998-01,1998-Q1,1998.0,2010-08-18,2010-08-18,2012-08-30,1.0,['biotech']
80,/company/aconex,Aconex,software,85000000.0,operating,USA,CA,SF Bay,San Bruno,1,2000-01-01,2000-01,2000-Q1,2000.0,2008-09-23,2008-09-23,2012-01-01,0.0,['software']
81,/company/acrisure,Acrisure,finance,20000000.0,operating,USA,MI,Grand Rapids,Grand Rapids,1,2006-01-01,2006-01,2006-Q1,2006.0,2010-01-29,2010-01-29,,0.0,['finance']
82,/company/acronis,Acronis,software,11000000.0,operating,USA,MA,Boston,Burlington,1,2002-01-01,2002-01,2002-Q1,2002.0,2004-01-01,2004-01-01,2013-09-02,0.0,['software']
83,/company/acsis,Acsis,software,6000000.0,operating,USA,NJ,Philadelphia,Marlton,1,1996-01-01,1996-01,1996-Q1,1996.0,2006-08-14,2006-08-14,2011-10-03,0.0,['software']
84,/company/act-biotech,ACT Biotech,biotech,24980000.0,operating,USA,CA,SF Bay,San Francisco,4,2008-01-01,2008-01,2008-Q1,2008.0,2008-05-06,2009-10-14,,0.0,['biotech']
85,/company/actacell,Actacell,cleantech,9800000.0,acquired,USA,TX,Austin,Austin,3,,,,,2008-07-22,2010-12-29,,1.0,['cleantech']
86,/company/actiance,Actiance,software,15600000.0,operating,USA,CA,SF Bay,Belmont,1,1998-01-01,1998-01,1998-Q1,1998.0,2007-09-11,2007-09-11,2012-01-01,0.0,['software']
87,/company/actimis-pharmaceuticals,Actimis Pharmaceuticals,biotech,15600000.0,acquired,USA,CA,San Diego,San Diego,2,,,,,2005-04-28,2008-06-06,,1.0,['biotech']
88,/company/actionengine,Action Engine,mobile,58200000.0,acquired,USA,WA,Seattle,Bellevue,5,2000-02-01,2000-02,2000-Q1,2000.0,2000-05-01,2007-07-01,2011-01-01,1.0,['mobile']
89,/company/activ-financial-systems,ACTIV Financial Systems,software,25000000.0,operating,USA,IL,Chicago,Chicago,1,2002-01-01,2002-01,2002-Q1,2002.0,2010-01-20,2010-01-20,,0.0,['software']
90,/company/active-endpoints,Active Endpoints,enterprise,22500000.0,operating,USA,MA,Boston,Waltham,5,2003-01-01,2003-01,2003-Q1,2003.0,2004-08-01,2010-09-21,2012-07-24,0.0,['enterprise']
91,/company/activenetwork,ACTIVE Network,software,213900000.0,ipo,USA,CA,San Diego,San Diego,8,1999-08-01,1999-08,1999-Q3,1999.0,1999-09-01,2008-08-27,2012-09-28,1.0,['software']
92,/company/active-optical-mems,Active Optical MEMS,other,2000000.0,operating,USA,CA,SF Bay,Fremont,1,,,,,2007-07-20,2007-07-20,,0.0,['other']
93,/company/activerain,ActiveRain,web,2750000.0,operating,USA,WA,Seattle,Seattle,1,2006-06-01,2006-06,2006-Q2,2006.0,2008-01-21,2008-01-21,2011-10-01,0.0,['web']
94,/company/activetrak,ActiveTrak,software,500000.0,operating,USA,OR,Portland,Portland,1,2007-01-01,2007-01,2007-Q1,2007.0,2010-03-09,2010-03-09,2010-12-20,0.0,['software']
95,/company/actividentity,ActivIdentity,enterprise,5422959.0,acquired,USA,CA,SF Bay,Fremont,1,1985-01-01,1985-01,1985-Q1,1985.0,2009-12-29,2009-12-29,2011-01-26,1.0,['enterprise']
96,/company/acton-pharmaceuticals,Acton Pharmaceuticals,biotech,36700005.0,acquired,USA,MA,Boston,Marlborough,4,,,,,2009-12-16,2013-05-21,2010-01-22,1.0,['biotech']
97,/company/ad-infuse,Ad Infuse,advertising,17600000.0,acquired,USA,CA,SF Bay,San Francisco,3,2005-11-01,2005-11,2005-Q4,2005.0,2005-01-01,2008-01-23,2011-06-09,1.0,['advertising']
98,/company/ad-knights,Ad Knights,advertising,50000.0,closed,USA,TX,Houston,Houston,1,2010-03-01,2010-03,2010-Q1,2010.0,2010-03-01,2010-03-01,,0.0,['advertising']
99,/company/ad-summos,Ad Summos,advertising,3049999.0,closed,USA,NY,New York,New York,1,2010-01-01,2010-01,2010-Q1,2010.0,2010-03-25,2010-03-25,,0.0,['advertising']
100,/company/adamas-pharmaceuticals,Adamas Pharmaceuticals,biotech,82000000.0,operating,USA,CA,SF Bay,Emeryville,4,2000-01-01,2000-01,2000-Q1,2000.0,2005-05-01,2009-10-01,,0.0,['biotech']
101,/company/adap-tv,Adap.tv,advertising,48500000.0,acquired,USA,CA,SF Bay,San Mateo,5,2006-11-01,2006-11,2006-Q4,2006.0,2007-02-01,2011-03-28,2013-08-15,1.0,['advertising']
102,/company/adaptive-ozone-solutions,Adaptive Ozone Solutions,cleantech,3750000.0,operating,USA,KS,Kansas City,Lenexa,1,,,,,2008-06-30,2008-06-30,,0.0,['cleantech']
103,/company/adaptive-tcr,Adaptive TCR,biotech,10350000.0,closed,USA,WA,Seattle,Seattle,2,2009-01-01,2009-01,2009-Q1,2009.0,2010-03-26,2011-06-10,,0.0,['biotech']
104,/company/adaptix,ADAPTIX,public_relations,1000000.0,acquired,USA,TX,Dallas,Carrollton,1,,,,,2011-10-18,2011-10-18,2004-01-01,1.0,['public_relations']
105,/company/adbrite,adBrite,advertising,40400000.0,acquired,USA,CA,SF Bay,San Francisco,4,2003-01-01,2003-01,2003-Q1,2003.0,2004-09-01,2012-05-01,2013-06-20,1.0,['advertising']
106,/company/additech,Additech,automotive,10600000.0,operating,USA,TX,Houston,Houston,2,1995-01-01,1995-01,1995-Q1,1995.0,2006-08-09,2010-08-13,2011-01-01,0.0,['automotive']
107,/company/addmybest,AddMyBest,ecommerce,1170000.0,operating,USA,,New Jersey,New Jersey,1,2009-08-01,2009-08,2009-Q3,2009.0,2009-01-01,2009-01-01,2012-04-06,0.0,['ecommerce']
108,/company/addontv,AddonTV,advertising,1000000.0,operating,USA,CA,Los Angeles,Beverly Hills,1,2009-08-01,2009-08,2009-Q3,2009.0,2011-01-01,2011-01-01,2011-04-01,0.0,['advertising']
109,/company/addoway,Addoway,ecommerce,50000.0,operating,USA,CA,SF Bay,San Francisco,1,2010-04-01,2010-04,2010-Q2,2010.0,2009-12-01,2009-12-01,2010-12-30,0.0,['ecommerce']
110,/company/adea,Adea,consulting,5000000.0,operating,USA,TX,Dallas,Irving,1,1996-01-01,1996-01,1996-Q1,1996.0,2007-01-01,2007-01-01,,0.0,['consulting']
111,/company/adecn,AdECN,advertising,3100000.0,acquired,USA,CA,Santa Barbara,Carpinteria,1,2003-01-01,2003-01,2003-Q1,2003.0,2006-02-01,2006-02-01,2008-01-01,1.0,['advertising']
112,/company/adelavoice,AdelaVoice,software,250000.0,operating,USA,MA,Boston,Boston,1,2010-01-01,2010-01,2010-Q1,2010.0,2010-04-27,2010-04-27,2010-11-01,0.0,['software']
113,/company/adenios,Adenios,biotech,460000.0,operating,USA,NY,Ithaca,Ithaca,1,2009-01-01,2009-01,2009-Q1,2009.0,2010-01-04,2010-01-04,,0.0,['biotech']
114,/company/adept-cloud,Adept Cloud,enterprise,700000.0,acquired,USA,CA,SF Bay,San Mateo,1,2011-06-01,2011-06,2011-Q2,2011.0,2012-11-01,2012-11-01,2012-01-01,1.0,['enterprise']
115,/company/adesso-solutions,Adesso Solutions,software,6000000.0,operating,USA,IL,Chicago,Rolling Meadows,1,2002-01-01,2002-01,2002-Q1,2002.0,2010-10-25,2010-10-25,2010-10-20,0.0,['software']
116,/company/adexlink,AdexLink,advertising,2000000.0,closed,USA,CA,SF Bay,Campbell,1,2010-08-16,2010-08,2010-Q3,2010.0,2011-06-10,2011-06-10,,0.0,['advertising']
117,/company/adeze,Adeze,advertising,5500000.0,operating,USA,CA,SF Bay,San Francisco,2,2005-01-01,2005-01,2005-Q1,2005.0,2006-06-21,2008-04-10,2008-01-01,0.0,['advertising']
118,/company/adfora-inc,"Adfora, Inc.",advertising,72000.0,operating,USA,CA,Los Angeles,Glendale,1,2010-01-23,2010-01,2010-Q1,2010.0,2010-03-04,2010-03-04,,0.0,['advertising']
119,/company/adgent007,AdGent Digital,advertising,5300000.0,operating,USA,CA,SF Bay,Palo Alto,2,2008-01-01,2008-01,2008-Q1,2008.0,2008-03-27,2009-02-03,2013-01-01,0.0,['advertising']
120,/company/adgrok,AdGrok,advertising,470000.0,acquired,USA,CA,SF Bay,San Francisco,2,2010-05-01,2010-05,2010-Q2,2010.0,2010-05-01,2011-03-07,2013-04-17,1.0,['advertising']
121,/company/adiana,Adiana,biotech,23000000.0,acquired,USA,CA,SF Bay,Redwood City,1,1997-01-01,1997-01,1997-Q1,1997.0,2005-08-25,2005-08-25,,1.0,['biotech']
122,/company/adify,Adify,advertising,27000000.0,acquired,USA,CA,SF Bay,San Bruno,2,2006-08-08,2006-08,2006-Q3,2006.0,2006-08-01,2007-04-18,2010-01-01,1.0,['advertising']
123,/company/adioso,Adioso,travel,355000.0,operating,USA,CA,SF Bay,San Francisco,3,2008-01-01,2008-01,2008-Q1,2008.0,2009-01-01,2010-04-01,2013-08-16,0.0,['travel']
124,/company/ad-network-adisn,Adisn,advertising,1000000.0,acquired,USA,CA,Los Angeles,Woodland Hills,1,,,,,2008-08-25,2008-08-25,2012-10-23,1.0,['advertising']
125,/company/ak-networks,AdKeeper,advertising,43000000.0,operating,USA,NY,New York,New York,2,2010-01-01,2010-01,2010-Q1,2010.0,2010-09-15,2011-01-03,2010-12-16,0.0,['advertising']
126,/company/adknowledge,Adknowledge,advertising,248000000.0,operating,USA,MO,Kansas City,Kansas City,2,2004-01-01,2004-01,2004-Q1,2004.0,2006-03-01,2011-01-12,2013-04-08,0.0,['advertising']
127,/company/adlyfe,Adlyfe,biotech,3300000.0,operating,USA,MD,Washington DC,Rockville,1,2003-01-01,2003-01,2003-Q1,2003.0,2006-01-17,2006-01-17,,0.0,['biotech']
128,/company/admeld,Admeld,advertising,30000000.0,acquired,USA,NY,New York,New York,3,2007-10-01,2007-10,2007-Q4,2007.0,2008-11-10,2010-08-01,2011-12-02,1.0,['advertising']
129,/company/admiral-records-management,Admiral Records Management,consulting,2300000.0,operating,USA,AL,Montgomery,Montgomery,1,2006-02-03,2006-02,2006-Q1,2006.0,2006-01-11,2006-01-11,,0.0,['consulting']
130,/company/admitone-security,AdmitOne Security,security,19000000.0,operating,USA,WA,Seattle,Issaquah,2,2002-01-01,2002-01,2002-Q1,2002.0,2005-11-09,2008-01-08,2005-01-01,0.0,['security']
131,/company/admob,AdMob,advertising,46800000.0,acquired,USA,CA,SF Bay,Mountain View,4,2006-12-01,2006-12,2006-Q4,2006.0,2006-09-01,2009-01-29,2013-06-13,1.0,['advertising']
132,/company/adnavance-technologies,Adnavance Technologies,biotech,7588201.0,operating,USA,CA,San Diego,San Diego,2,,,,,2005-11-29,2008-02-26,,0.0,['biotech']
133,/company/adnexus,Adnexus,biotech,42500000.0,operating,USA,MA,Boston,Waltham,2,2002-01-01,2002-01,2002-Q1,2002.0,2006-06-26,2007-08-07,2007-09-24,0.0,['biotech']
134,/company/adotube,AdoTube,advertising,1230000.0,acquired,USA,NY,New York,New York,2,2007-02-26,2007-02,2007-Q1,2007.0,2007-07-31,2008-04-01,2011-07-12,1.0,['advertising']
135,/company/adrocket,AdRocket,advertising,1000000.0,operating,USA,CA,SF Bay,San Francisco,1,2008-02-01,2008-02,2008-Q1,2008.0,2009-05-15,2009-05-15,2009-09-01,0.0,['advertising']
136,/company/adspace-networks,Adspace Networks,advertising,75000.0,operating,USA,NY,New York,New York,1,1998-01-01,1998-01,1998-Q1,1998.0,2010-05-11,2010-05-11,2005-01-01,0.0,['advertising']
